Campaign	Campaign Type	Networks	Budget	Budget type	Languages	Bid Strategy Type	Enhanced CPC	Maximum CPC bid limit	Start Date	Broad match keywords	Ad Schedule	Ad rotation	Campaign Status
SER#EN_B2B	Search	Google search	10.00	Daily	en	Maximize clicks	Disabled	1.00	2026-01-03	Off	[]	Optimize for clicks	Enabled
SER#FR_B2B	Search	Google search	10.00	Daily	fr	Maximize clicks	Disabled	1.00	2026-01-03	Off	[]	Optimize for clicks	Enabled
SER#EN_Automotive	Search	Google search	8.00	Daily	en	Maximize clicks	Disabled	0.90	2026-01-03	Off	[]	Optimize for clicks	Enabled
SER#FR_Automotive	Search	Google search	8.00	Daily	fr	Maximize clicks	Disabled	0.90	2026-01-03	Off	[]	Optimize for clicks	Enabled
SER#EN_DigitalMarketing	Search	Google search	8.00	Daily	en	Maximize clicks	Disabled	0.80	2026-01-03	Off	[]	Optimize for clicks	Enabled
SER#FR_DigitalMarketing	Search	Google search	8.00	Daily	fr	Maximize clicks	Disabled	0.80	2026-01-03	Off	[]	Optimize for clicks	Enabled
SER#EN_AITraining	Search	Google search	6.00	Daily	en	Maximize clicks	Disabled	0.90	2026-01-03	Off	[]	Optimize for clicks	Enabled
SER#FR_AITraining	Search	Google search	6.00	Daily	fr	Maximize clicks	Disabled	0.90	2026-01-03	Off	[]	Optimize for clicks	Enabled
